,Protein Annotation,Day21-ETP,sgRNA_vs_Target,TID,MatchResult
1,76.54,0.490986338,13,0,1
2,76.54,0.428038454,14,0,0
4,76.54,0.143453725,14,0,1
5,76.54,0.143453725,14,0,1
10,76.54,0.055372020999999993,13,0,0
12,76.54,-0.07481056700000001,10,0,0
14,76.54,-0.318632825,16,0,1
15,76.54,-0.319714017,14,0,1
16,76.54,-0.348614545,17,0,0
18,76.54,-0.424670495,4,0,0
19,76.54,-0.492047976,10,0,1
20,76.54,-0.492047976,10,0,1
21,76.54,-0.50749855,13,0,1
22,76.54,-0.50749855,13,0,1
24,76.54,-0.541207394,8,0,1
25,76.54,-0.549398618,11,0,1
26,76.54,-0.549398618,11,0,1
27,76.54,-0.566560851,11,0,0
30,76.54,-0.621187195,19,0,1
33,76.54,-0.659966491,19,0,1
34,76.54,-0.6712339740000001,8,0,1
36,76.54,-0.691000046,19,0,1
39,76.54,-0.7521475990000001,19,0,1
40,76.54,-0.76200824,8,0,0
41,76.54,-0.773858397,17,0,1
42,76.54,-0.773858397,17,0,1
44,76.54,-0.791244469,13,0,1
45,76.54,-0.8008708090000001,17,0,1
47,76.54,-0.863864174,18,0,0
48,76.54,-0.868912712,7,0,1
49,76.54,-0.868912712,7,0,1
52,76.54,-0.8832692590000001,9,0,0
53,76.54,-0.910798977,18,0,1
54,76.54,-0.918147374,5,0,0
55,76.54,-0.967391672,18,0,1
57,76.54,-0.969542858,19,0,1
58,76.54,-0.969542858,19,0,1
59,76.54,-0.9994287,9,0,1
61,76.54,-1.004847996,10,0,1
64,76.54,-1.013792005,19,0,1
66,76.54,-1.033509303,7,0,0
70,76.54,-1.106404944,18,0,1
71,76.54,-1.106404944,18,0,1
72,76.54,-1.117578889,7,0,1
73,76.54,-1.134541136,9,0,1
74,76.54,-1.134541136,9,0,1
77,76.54,-1.2377786240000002,7,0,1
78,76.54,-1.250476437,6,0,1
80,76.54,-1.286190181,12,0,1
81,76.54,-1.286190181,12,0,1
82,76.54,-1.289584372,6,0,0
83,76.54,-1.327035786,6,0,1
84,76.54,-1.3508620219999998,20,0,1
85,76.54,-1.3508620219999998,20,0,1
86,76.54,-1.3508620219999998,20,0,1
87,76.54,-1.3508620219999998,20,0,1
89,76.54,-1.390896396,10,0,1
90,76.54,-1.407673605,17,0,1
92,76.54,-1.468264681,15,0,0
93,76.54,-1.485103821,5,0,1
95,76.54,-1.500998993,19,0,1
96,76.54,-1.535193002,15,0,1
97,76.54,-1.535193002,15,0,1
100,76.54,-1.545844829,19,0,0
101,76.54,-1.545844829,19,0,0
102,76.54,-1.545844829,19,0,0
103,76.54,-1.545844829,19,0,1
104,76.54,-1.570976645,4,0,1
105,76.54,-1.59133721,5,0,1
106,76.54,-1.59133721,5,0,1
107,76.54,-1.599649546,4,0,1
108,76.54,-1.654337614,8,0,1
109,76.54,-1.654337614,8,0,1
110,76.54,-1.671125777,15,0,1
111,76.54,-1.673697117,12,0,0
114,76.54,-1.697802983,11,0,1
115,76.54,-1.698404897,15,0,1
116,76.54,-1.70735597,16,0,0
121,76.54,-1.7579295819999998,9,0,1
122,76.54,-1.7633529730000002,6,0,1
123,76.54,-1.7633529730000002,6,0,1
128,76.54,-1.92012741,19,0,1
132,76.54,-1.953853107,19,0,1
137,76.54,-2.050592627,19,0,1
141,76.54,-2.22201457,4,0,1
144,76.54,-2.325401125,19,0,1
145,76.54,-2.35806984,14,0,1
147,76.54,-2.407634903,3,0,0
148,76.54,-2.588034803,12,0,1
149,76.54,-2.633332086,11,0,1
150,76.54,-2.789125351,16,0,1
152,76.54,-3.3862335060000004,5,0,1
153,76.54,-4.070239817,12,0,1
154,76.54,-4.478051394,16,0,1
155,76.54,-4.478051394,16,0,1
158,80.49,1.788111765,14,1,1
160,80.49,1.688291678,19,1,1
163,80.49,1.452758962,14,1,1
164,80.49,1.379917869,17,1,1
167,80.49,1.3797077619999998,19,1,1
168,80.49,1.3797077619999998,19,1,1
170,80.49,1.3707819369999998,16,1,1
171,80.49,1.3707819369999998,16,1,1
172,80.49,1.310797739,18,1,1
173,80.49,1.310797739,18,1,1
179,80.49,1.085750761,19,1,1
180,80.49,1.03342521,20,1,1
181,80.49,1.03342521,20,1,1
182,80.49,1.03342521,20,1,1
183,80.49,0.977691228,15,1,1
184,80.49,0.977691228,15,1,1
185,80.49,0.977691228,15,1,1
191,80.49,0.8112170059999999,19,1,0
192,80.49,0.8112170059999999,19,1,0
193,80.49,0.8112170059999999,19,1,1
197,80.49,0.7635756020000001,14,1,1
201,80.49,0.72026399,18,1,0
202,80.49,0.6603852720000001,16,1,1
203,80.49,0.647755702,4,1,0
206,80.49,0.533750056,17,1,1
209,80.49,0.461593837,19,1,1
213,80.49,0.401991497,15,1,0
215,80.49,0.35830707799999995,12,1,1
216,80.49,0.35830707799999995,12,1,1
