Classifier,Model,Specificity,Sensitivity,Accuracy,AUC
SVM - Gaussian,Imbalanced - Insertion,0.8,1,0.8,0.50364513
SVM - Gaussian,Balanced - Manual,0.83,0.54,0.54,0.548556772
SVM - Gaussian,Balanced - SMOTE,0.83,0.62,0.59,0.553278188
SVM - Gaussian,Imbalanced - Deletion,0.87,0.11,0.27,0.522229233
SVM - Polynomial,Imbalanced - Insertion,0.8,1,0.8,0.5
SVM - Polynomial,Balanced - Manual,0.86,0.23,0.35,0.541027232
SVM - Polynomial,Balanced - SMOTE,0.85,0.23,0.35,0.534070145
SVM - Polynomial,Imbalanced - Deletion,0,0,0.2,0.5
SVM - Sigmoid,Imbalanced - Insertion,0.8,0.8,0.68,0.4972838
SVM - Sigmoid,Balanced - Manual,0.8,0.5,0.5,0.490979616
SVM - Sigmoid,Balanced - SMOTE,0.8,0.5,0.5,0.491884254
SVM - Sigmoid,Imbalanced - Deletion,0.8,0.32,0.39,0.493868294
Naive Bayes - Gaussian,Imbalanced - Insertion,0.8,1,0.8,0.5
Naive Bayes - Gaussian,Balanced - Manual,0.82,0.4,0.45,0.523606823
Naive Bayes - Gaussian,Balanced - SMOTE,0.83,0.42,0.47,0.531942435
Naive Bayes - Gaussian,Imbalanced - Deletion,0.88,0.11,0.28,0.525845089
Naive Bayes - Bernoulli,Imbalanced - Insertion,0.8,1,0.8,0.5
Naive Bayes - Bernoulli,Balanced - Manual,0.85,0.2,0.33,0.526977224
Naive Bayes - Bernoulli,Balanced - SMOTE,0.82,0.47,0.49,0.52537629
Naive Bayes - Bernoulli,Imbalanced - Deletion,0,0,0.2,0.5
Random Forest,Imbalanced - Insertion,0.87,0.95,0.85,0.701896767
Random Forest,Balanced - Manual,0.88,0.6,0.61,0.643834722
Random Forest,Balanced - SMOTE,0.88,0.88,0.81,0.688995088
Random Forest,Imbalanced - Deletion,0.88,0.27,0.39,0.565508953
Light GBM,Imbalanced - Insertion,0.8,1,0.8,0.509551728
Light GBM,Balanced - Manual,0.86,0.53,0.55,0.592911014
Light GBM,Balanced - SMOTE,0.81,0.95,0.79,0.534304493
Light GBM,Imbalanced - Deletion,0.88,0.2,0.34,0.545903116
