Classifier,Model,Specificity,Sensitivity,Accuracy,AUC
SVM - Gaussian,Imbalanced - Match,0.9,1,0.96,0.969299227
SVM - Gaussian,Balanced - Manual,0.89,1,0.96,0.967167216
SVM - Gaussian,Balanced - SMOTE,0.9,1,0.96,0.969451886
SVM - Gaussian,Imbalanced - Mismatch,0.83,1,0.93,0.943568654
SVM - Polynomial,Imbalanced - Match,0.7,1,0.85,0.881482751
SVM - Polynomial,Balanced - Manual,0.64,1,0.8,0.847726753
SVM - Polynomial,Balanced - SMOTE,0.69,1,0.84,0.880054832
SVM - Polynomial,Imbalanced - Mismatch,0.64,1,0.8,0.847726753
SVM - Sigmoid,Imbalanced - Match,0.35,0.36,0.54,0.495224084
SVM - Sigmoid,Balanced - Manual,0.35,0.5,0.5,0.497224644
SVM - Sigmoid,Balanced - SMOTE,0.35,0.5,0.5,0.496997219
SVM - Sigmoid,Imbalanced - Mismatch,0.35,0.66,0.44,0.497242796
Naive Bayes - Gaussian,Imbalanced - Match,0.9,1,0.96,0.970356408
Naive Bayes - Gaussian,Balanced - Manual,0.9,1,0.96,0.970356408
Naive Bayes - Gaussian,Balanced - SMOTE,0.9,1,0.96,0.970356408
Naive Bayes - Gaussian,Imbalanced - Mismatch,0.9,1,0.96,0.970356408
Naive Bayes - Bernoulli,Imbalanced - Match,0.5,0.34,0.65,0.576501142
Naive Bayes - Bernoulli,Balanced - Manual,0.5,0.34,0.65,0.576501142
Naive Bayes - Bernoulli,Balanced - SMOTE,0.5,0.34,0.65,0.576501142
Naive Bayes - Bernoulli,Imbalanced - Mismatch,0.35,1,0.35,0.5
Random Forest,Imbalanced - Match,0.91,0.92,0.94,0.934628068
Random Forest,Balanced - Manual,0.9,0.95,0.95,0.947315355
Random Forest,Balanced - SMOTE,0.91,0.92,0.94,0.936278235
Random Forest,Imbalanced - Mismatch,0.91,0.98,0.96,0.963287375
Light GBM,Imbalanced - Match,0.9,1,0.96,0.96983197
Light GBM,Balanced - Manual,0.9,1,0.96,0.97020375
Light GBM,Balanced - SMOTE,0.9,1,0.96,0.970356408
Light GBM,Imbalanced - Mismatch,0.9,1,0.96,0.969946203
