,Protein Annotation,Day21-ETP,sgRNA_vs_Target,sgRNA_vs_Mutated,Mutated_vs_Target,TID,MatchResult
0,76.54,0.758782581,19,20,19,0,0
1,76.54,0.490986338,13,3,10,0,1
2,76.54,0.428038454,14,3,8,0,1
3,76.54,0.345699783,19,20,19,0,0
4,76.54,0.143453725,14,4,10,0,1
5,76.54,0.143453725,14,4,10,0,1
6,76.54,0.143369847,19,20,19,0,0
7,76.54,0.128326915,19,20,19,0,0
8,76.54,0.064520125,19,20,19,0,0
9,76.54,0.062828465,19,20,19,0,0
10,76.54,0.055372020999999993,13,3,9,0,1
11,76.54,-0.021748722,19,20,19,0,0
12,76.54,-0.07481056700000001,10,4,12,0,1
13,76.54,-0.232113848,19,20,19,0,0
14,76.54,-0.318632825,16,3,7,0,1
15,76.54,-0.319714017,14,3,9,0,1
16,76.54,-0.348614545,17,3,5,0,1
17,76.54,-0.387602934,19,20,19,0,0
18,76.54,-0.424670495,4,3,18,0,1
19,76.54,-0.492047976,10,4,14,0,1
20,76.54,-0.492047976,10,4,14,0,1
21,76.54,-0.50749855,13,4,11,0,1
22,76.54,-0.50749855,13,4,11,0,1
23,76.54,-0.534228195,19,20,19,0,0
24,76.54,-0.541207394,8,3,15,0,1
25,76.54,-0.549398618,11,4,13,0,1
26,76.54,-0.549398618,11,4,13,0,1
27,76.54,-0.566560851,11,4,11,0,1
28,76.54,-0.580179386,19,20,19,0,0
29,76.54,-0.621187195,19,20,19,0,0
30,76.54,-0.621187195,19,2,3,0,1
31,76.54,-0.625433035,19,20,19,0,0
32,76.54,-0.659966491,19,20,19,0,0
33,76.54,-0.659966491,19,3,4,0,1
34,76.54,-0.6712339740000001,8,3,15,0,1
35,76.54,-0.691000046,19,20,19,0,0
36,76.54,-0.691000046,19,2,3,0,1
37,76.54,-0.7459231709999999,19,20,19,0,0
38,76.54,-0.7521475990000001,19,20,19,0,0
39,76.54,-0.7521475990000001,19,2,3,0,1
40,76.54,-0.76200824,8,4,14,0,1
41,76.54,-0.773858397,17,4,7,0,1
42,76.54,-0.773858397,17,4,7,0,1
43,76.54,-0.7790691340000001,19,20,19,0,0
44,76.54,-0.791244469,13,3,10,0,1
45,76.54,-0.8008708090000001,17,3,6,0,1
46,76.54,-0.843676058,19,20,19,0,0
47,76.54,-0.863864174,18,3,4,0,1
48,76.54,-0.868912712,7,4,17,0,1
49,76.54,-0.868912712,7,4,17,0,1
50,76.54,-0.879579008,19,20,19,0,0
51,76.54,-0.881684293,19,20,19,0,0
52,76.54,-0.8832692590000001,9,4,13,0,1
53,76.54,-0.910798977,18,3,5,0,1
